state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Puducherry,MUTHIALPET,13,K. HARIDASS,Pattali Makkal Katchi,3,5,11,14,,,14,0,14,0.06,23560
Puducherry,MUTHIALPET,13,EGAMBARAM GANDHI,Independent,11,19,24,25,,,25,0,25,0.11,23560
Puducherry,MUTHIALPET,13,R. CHANDRUJI,Independent,49,61,158,252,,,252,3,255,1.08,23560
Puducherry,MUTHIALPET,13,BALAMURUGAN,Independent,4,9,18,35,,,35,1,36,0.15,23560
Puducherry,MUTHIALPET,13,C. PRATHIYOUVE,Independent,5,10,14,20,,,20,0,20,0.08,23560
Puducherry,MUTHIALPET,13,M. PRABAGARAN,Independent,1200,1961,2594,3236,,,3236,49,3285,13.94,23560
Puducherry,MUTHIALPET,13,P. VIJAYABHAASGAR,Independent,9,12,19,25,,,25,0,25,0.11,23560
Puducherry,MUTHIALPET,13,NOTA,None of the Above,42,83,111,161,,,161,1,162,0.69,23560
Puducherry,NEDUNGADU,24,C. CHANDIRA PRIYANGA,All India N.R. Congress,4583,8242,9632,,,,9632,237,9869,34.71,28431
Puducherry,NEDUNGADU,24,DINESH KUMAR,Indian National Congress,564,1131,1326,,,,1326,28,1354,4.76,28431
Puducherry,NEDUNGADU,24,U. KAMARAJ,Tamilaga Vettri Kazhagam,805,1547,1849,,,,1849,16,1865,6.56,28431
Puducherry,NEDUNGADU,24,A. VIGNESH,Naam Tamilar Katchi,191,405,499,,,,499,11,510,1.79,28431
Puducherry,NEDUNGADU,24,ARUL PRAKASH,Independent,42,93,129,,,,129,1,130,0.46,28431
Puducherry,NEDUNGADU,24,DR. V. VIGNESWARAN,Independent,5643,11433,14202,,,,14202,166,14368,50.54,28431
Puducherry,NEDUNGADU,24,NOTA,None of the Above,146,264,330,,,,330,5,335,1.18,28431
Puducherry,NELLITHOPE,17,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,2500,4564,6875,8108,,,8108,118,8226,33.21,24770
Puducherry,NELLITHOPE,17,S. GOMATHI ROJA,Anna Makkal Katchi,8,21,27,38,,,38,1,39,0.16,24770
Puducherry,NELLITHOPE,17,MUTH. AM. SIVAKUMAR,Naam Tamilar Katchi,149,246,330,382,,,382,10,392,1.58,24770
Puducherry,NELLITHOPE,17,S. VIGNESHWARAN,Tamilaga Vettri Kazhagam,1416,2721,4158,4739,,,4739,24,4763,19.23,24770
Puducherry,NELLITHOPE,17,JANAKIRAMAN,Pattali Makkal Katchi,27,44,64,80,,,80,0,80,0.32,24770
Puducherry,NELLITHOPE,17,A. JAYAKUMAR,Latchiya Jananayaka Katchi (LJK),1045,1834,2760,3263,,,3263,48,3311,13.37,24770
Puducherry,NELLITHOPE,17,DR. C. ASHOK KUMAR,Independent,8,24,31,36,,,36,0,36,0.15,24770
Puducherry,NELLITHOPE,17,E. IRUDHAYARAJ,Independent,21,32,40,51,,,51,0,51,0.21,24770
Puducherry,NELLITHOPE,17,OMSAKTHISEKAR,Independent,2394,4322,6118,7315,,,7315,61,7376,29.78,24770
Puducherry,NELLITHOPE,17,S. KAMATCHI,Independent,12,22,32,39,,,39,1,40,0.16,24770
Puducherry,NELLITHOPE,17,R. SHANMUGAM,Independent,66,79,85,88,,,88,0,88,0.36,24770
Puducherry,NELLITHOPE,17,G. SATHEESHKUMAR,Independent,14,34,41,46,,,46,2,48,0.19,24770
Puducherry,NELLITHOPE,17,N. DELHIBABU,Independent,6,11,21,26,,,26,2,28,0.11,24770
Puducherry,NELLITHOPE,17,M. MOHAN RAJ,Independent,13,26,44,55,,,55,0,55,0.22,24770
Puducherry,NELLITHOPE,17,NOTA,None of the Above,68,144,195,237,,,237,0,237,0.96,24770
Puducherry,NERAVY-T.R.PATTINAM,28,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,3406,7009,8656,,,,8656,144,8800,33.15,26545
Puducherry,NERAVY-T.R.PATTINAM,28,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,4564,7909,10667,,,,10667,151,10818,40.75,26545
Puducherry,NERAVY-T.R.PATTINAM,28,SUGANTH. T,Desa Makkal Munnetrak Kazhagam,16,41,46,,,,46,0,46,0.17,26545
Puducherry,NERAVY-T.R.PATTINAM,28,GANESH @ PRANADARTI GARESWARAN,Tamilaga Vettri Kazhagam,1091,2149,2870,,,,2870,8,2878,10.84,26545
Puducherry,NERAVY-T.R.PATTINAM,28,M. MALA,Naam Tamilar Katchi,126,233,331,,,,331,3,334,1.26,26545
Puducherry,NERAVY-T.R.PATTINAM,28,I. KADAR MAIDINE,Independent,20,75,117,,,,117,2,119,0.45,26545
Puducherry,NERAVY-T.R.PATTINAM,28,SENTHAMIZH SELVAN,Independent,9,30,43,,,,43,1,44,0.17,26545
Puducherry,NERAVY-T.R.PATTINAM,28,V.M.C.S. MANOHAREN,Independent,790,2042,3236,,,,3236,60,3296,12.42,26545
Puducherry,NERAVY-T.R.PATTINAM,28,VAIDEGI,Independent,36,62,73,,,,73,0,73,0.28,26545
Puducherry,NERAVY-T.R.PATTINAM,28,NOTA,None of the Above,53,104,131,,,,131,6,137,0.52,26545
Puducherry,NETTAPAKKAM,22,G. ANBARASAN,Indian National Congress,1307,2492,3586,4519,6050,6920,6920,56,6976,24.29,28718
Puducherry,NETTAPAKKAM,22,P. RAJAVELU,All India N.R. Congress,2249,4337,7166,9792,12522,13489,13489,176,13665,47.58,28718
Puducherry,NETTAPAKKAM,22,DR.K. SILAMBARASAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,15,25,33,39,53,55,55,1,56,0.19,28718
Puducherry,NETTAPAKKAM,22,S. GNANAPRAGASH,Naam Tamilar Katchi,60,99,183,229,295,308,308,1,309,1.08,28718
Puducherry,NETTAPAKKAM,22,L PERIASAMY,Tamilaga Vettri Kazhagam,1064,1991,3250,4234,5148,5321,5321,61,5382,18.74,28718
Puducherry,NETTAPAKKAM,22,K JAYACHANDIRAN,Pattali Makkal Katchi,15,21,33,45,53,53,53,2,55,0.19,28718
Puducherry,NETTAPAKKAM,22,P AMUDHAVAN,Independent,5,12,24,30,42,51,51,11,62,0.22,28718
Puducherry,NETTAPAKKAM,22,R. AYANAR,Independent,22,28,68,80,100,102,102,1,103,0.36,28718
Puducherry,NETTAPAKKAM,22,N ARIKRISHNAN,Independent,766,1050,1160,1180,1482,1497,1497,14,1511,5.26,28718
Puducherry,NETTAPAKKAM,22,I. DANARAJU,Independent,3,8,15,16,21,22,22,1,23,0.08,28718
Puducherry,NETTAPAKKAM,22,S. THIRUNAVUKKARASU,Independent,89,105,108,111,124,124,124,10,134,0.47,28718
Puducherry,NETTAPAKKAM,22,S MUTHUKUMARASAMY,Independent,5,7,14,24,41,42,42,3,45,0.16,28718
Puducherry,NETTAPAKKAM,22,V. MURALI,Independent,12,23,45,58,91,110,110,2,112,0.39,28718
Puducherry,NETTAPAKKAM,22,A VELU,Independent,13,35,45,59,88,93,93,1,94,0.33,28718
Puducherry,NETTAPAKKAM,22,NOTA,None of the Above,38,64,112,135,176,188,188,3,191,0.67,28718
Puducherry,ORLEAMPETH,16,A. GANDHI,All India Anna Dravida Munnetra Kazhagam,96,176,267,295,,,295,5,300,1.53,19594
Puducherry,ORLEAMPETH,16,S. GOPAL,Dravida Munnetra Kazhagam,2290,4620,7334,8695,,,8695,64,8759,44.7,19594
Puducherry,ORLEAMPETH,16,ANITHA VEERAPAN,Naam Tamilar Katchi,57,99,158,184,,,184,0,184,0.94,19594
Puducherry,ORLEAMPETH,16,E. ABEL VARGINIA,Pattali Makkal Katchi,9,13,19,20,,,20,0,20,0.1,19594
Puducherry,ORLEAMPETH,16,L. KARUNANITHI,Naadaalum Makkal Katchi,16,21,38,46,,,46,0,46,0.23,19594
Puducherry,ORLEAMPETH,16,N. SIVAKUMARAN,Tamilaga Makkal Thannurimai Katchi,8,10,16,16,,,16,0,16,0.08,19594
Puducherry,ORLEAMPETH,16,G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,2524,5278,8483,9890,,,9890,70,9960,50.83,19594
Puducherry,ORLEAMPETH,16,S. AMUTHA,Independent,4,17,29,32,,,32,0,32,0.16,19594
Puducherry,ORLEAMPETH,16,GOUTHAM KUMAR,Independent,12,21,25,28,,,28,0,28,0.14,19594
Puducherry,ORLEAMPETH,16,R. GOPAL,Independent,4,6,9,11,,,11,0,11,0.06,19594
Puducherry,ORLEAMPETH,16,A. P. SIVAKUMAR.,Independent,1,4,17,21,,,21,0,21,0.11,19594
Puducherry,ORLEAMPETH,16,P. VENKATESAN,Independent,3,4,7,8,,,8,1,9,0.05,19594
Puducherry,ORLEAMPETH,16,V. HARIHARANE,Independent,34,44,51,55,,,55,0,55,0.28,19594
Puducherry,ORLEAMPETH,16,NOTA,None of the Above,51,95,130,151,,,151,2,153,0.78,19594
Puducherry,OUPALAM,15,A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,2045,4731,6814,9008,,,9008,91,9099,39.51,23030
Puducherry,OUPALAM,15,ANNIBAL KENNEDY,Dravida Munnetra Kazhagam,1832,3019,4243,5275,,,5275,52,5327,23.13,23030
Puducherry,OUPALAM,15,S SIVA,Tamilaga Vettri Kazhagam,1387,3545,6083,8024,,,8024,49,8073,35.05,23030
Puducherry,OUPALAM,15,SUBRAMANIYAN,Tamilaga Makkal Thannurimai Katchi,5,13,24,28,,,28,0,28,0.12,23030
Puducherry,OUPALAM,15,SELVANATHAN,Pattali Makkal Katchi,4,12,21,26,,,26,0,26,0.11,23030
Puducherry,OUPALAM,15,V DEVIPRIYA,Naam Tamilar Katchi,78,153,249,322,,,322,4,326,1.42,23030
Puducherry,OUPALAM,15,NOTA,None of the Above,36,66,111,149,,,149,2,151,0.66,23030
Puducherry,OUSSUDU,3,P. KARTHIKEYAN,Indian National Congress,4279,8616,12012,15260,,,15260,140,15400,49.2,31301
Puducherry,OUSSUDU,3,E. THEEPPAINTHAN,Bharatiya Janata Party,2854,6099,8470,11214,,,11214,168,11382,36.36,31301
Puducherry,OUSSUDU,3,P. ARIAPOUTRY,Viduthalai Chiruthaigal Katchi,14,50,67,87,,,87,3,90,0.29,31301
Puducherry,OUSSUDU,3,GOWRI,Naam Tamilar Katchi,81,170,284,449,,,449,9,458,1.46,31301
Puducherry,OUSSUDU,3,S. SARAGANABAVA,Tamilaga Vettri Kazhagam,758,1527,2492,3687,,,3687,11,3698,11.81,31301
Puducherry,OUSSUDU,3,NOTA,None of the Above,53,152,201,268,,,268,5,273,0.87,31301
Puducherry,OZHUKARAI,6,M. SIVASANKAR,Indian National Congress,808,1645,2216,3213,3655,,3655,54,3709,10.33,35893
Puducherry,OZHUKARAI,6,K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,2649,5437,7764,10323,12396,,12396,239,12635,35.2,35893
Puducherry,OZHUKARAI,6,NARA. KALAINATHAN,Communist Party of India,74,170,234,330,393,,393,9,402,1.12,35893
Puducherry,OZHUKARAI,6,SASIBALAN,Tamilaga Vettri Kazhagam,1833,3374,5458,7002,8342,,8342,59,8401,23.41,35893
Puducherry,OZHUKARAI,6,S. CHITRA,Naam Tamilar Katchi,104,172,285,359,413,,413,5,418,1.16,35893
Puducherry,OZHUKARAI,6,PUSHPALATHA,Viduthalai Chiruthaigal Katchi,195,561,898,1024,1121,,1121,21,1142,3.18,35893
Puducherry,OZHUKARAI,6,MANGAYARARASI,Pattali Makkal Katchi,10,18,19,31,41,,41,0,41,0.11,35893
Puducherry,OZHUKARAI,6,M. LAVANYA,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,17,75,96,99,103,,103,0,103,0.29,35893
Puducherry,OZHUKARAI,6,R. ARULSEZHIAN,Independent,84,169,379,500,600,,600,7,607,1.69,35893
Puducherry,OZHUKARAI,6,N. SARAVANAN,Independent,1317,2920,4928,6466,7325,,7325,121,7446,20.74,35893
Puducherry,OZHUKARAI,6,V. PRABADEVI,Independent,90,220,313,342,372,,372,2,374,1.04,35893
Puducherry,OZHUKARAI,6,S. MURUGAN,Independent,6,13,22,24,38,,38,0,38,0.11,35893
Puducherry,OZHUKARAI,6,R. RAVITCHANDIRANE,Independent,58,98,136,174,198,,198,0,198,0.55,35893
Puducherry,OZHUKARAI,6,J. VINAYAGAM,Independent,9,19,36,42,48,,48,0,48,0.13,35893
Puducherry,OZHUKARAI,6,NOTA,None of the Above,82,144,206,282,324,,324,7,331,0.92,35893
Puducherry,RAJ BHAVAN,14,R KUMARAN,Indian National Congress,615,952,1251,1521,,,1521,17,1538,8.22,18716
Puducherry,RAJ BHAVAN,14,V. P. RAMALINGAME,Bharatiya Janata Party,1491,3471,5015,6920,,,6920,97,7017,37.49,18716
Puducherry,RAJ BHAVAN,14,VIGNESH KANNAN,Dravida Munnetra Kazhagam,919,2609,4889,7222,,,7222,82,7304,39.03,18716
Puducherry,RAJ BHAVAN,14,S. KARPAGAVALLI,Naam Tamilar Katchi,46,96,136,212,,,212,1,213,1.14,18716
Puducherry,RAJ BHAVAN,14,P. KODESWARAN,Tamilaga Makkal Thannurimai Katchi,4,21,25,32,,,32,0,32,0.17,18716
Puducherry,RAJ BHAVAN,14,V.J. CHANDRAN,Tamilaga Vettri Kazhagam,460,1141,1679,2349,,,2349,12,2361,12.61,18716
Puducherry,RAJ BHAVAN,14,RAMALINGAM,Independent,6,21,29,41,,,41,1,42,0.22,18716
Puducherry,RAJ BHAVAN,14,NOTA,None of the Above,80,128,166,206,,,206,3,209,1.12,18716
Puducherry,THATTANCHAVADY,9,N. RANGASAMY,All India N.R. Congress,3447,6623,9598,9808,,,9808,216,10024,42.51,23578
Puducherry,THATTANCHAVADY,9,VE. VAITHILINGAM,Indian National Congress,780,1925,2821,2922,,,2922,68,2990,12.68,23578
Puducherry,THATTANCHAVADY,9,K. KATHIRESAN,Pattali Makkal Katchi,11,29,39,41,,,41,1,42,0.18,23578
Puducherry,THATTANCHAVADY,9,S. KARTHI KUMARI,Naam Tamilar Katchi,179,312,504,520,,,520,14,534,2.26,23578
Puducherry,THATTANCHAVADY,9,E. VINAYAGAM,Neyam Makkal Kazhagam,1520,3208,5438,5543,,,5543,40,5583,23.68,23578
Puducherry,THATTANCHAVADY,9,B. GANESHAMOURTHY,Independent,24,42,88,88,,,88,1,89,0.38,23578
Puducherry,THATTANCHAVADY,9,M. KRISHNAMURTHY,Independent,5,8,14,14,,,14,1,15,0.06,23578
Puducherry,THATTANCHAVADY,9,K. SETHU @ SETHUSELVAM,Independent,1415,2575,3774,3926,,,3926,58,3984,16.9,23578
Puducherry,THATTANCHAVADY,9,BANGARAMMAL KARUNAKARAN,Independent,19,56,70,73,,,73,0,73,0.31,23578
Puducherry,THATTANCHAVADY,9,N. RANJITHKUMAR,Independent,25,31,44,45,,,45,3,48,0.2,23578
Puducherry,THATTANCHAVADY,9,NOTA,None of the Above,41,123,186,192,,,192,4,196,0.83,23578
Puducherry,THIRUBHUVANAI,2,P. ANGALANE,Dravida Munnetra Kazhagam,1830,3835,5569,6553,,,6553,77,6630,21.88,30299
Puducherry,THIRUBHUVANAI,2,B. KOBIGA,All India N.R. Congress,2463,5027,6814,8930,,,8930,109,9039,29.83,30299
Puducherry,THIRUBHUVANAI,2,M. DATCHANAMURTHY,Communist Party of India (Marxist),82,113,197,251,,,251,4,255,0.84,30299
Puducherry,THIRUBHUVANAI,2,K. VELU,Indian National Congress,1149,1831,2655,3532,,,3532,29,3561,11.75,30299
Puducherry,THIRUBHUVANAI,2,GEETHA. V,Tamilaga Makkal Thannurimai Katchi,27,48,235,272,,,272,12,284,0.94,30299
Puducherry,THIRUBHUVANAI,2,AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,2002,4120,6856,9700,,,9700,40,9740,32.15,30299
Puducherry,THIRUBHUVANAI,2,K. RANJIT,Naam Tamilar Katchi,81,164,241,333,,,333,2,335,1.11,30299
Puducherry,THIRUBHUVANAI,2,ASWANIYA. M,Independent,5,9,13,17,,,17,0,17,0.06,30299
Puducherry,THIRUBHUVANAI,2,D. ATHILAKSHMI,Independent,19,25,49,58,,,58,1,59,0.19,30299
Puducherry,THIRUBHUVANAI,2,S. T. CALE,Independent,10,20,34,57,,,57,2,59,0.19,30299
Puducherry,THIRUBHUVANAI,2,V. PUNITHA,Independent,31,51,86,116,,,116,1,117,0.39,30299
Puducherry,THIRUBHUVANAI,2,NOTA,None of the Above,49,95,146,200,,,200,3,203,0.67,30299
Puducherry,THIRUNALLAR,25,R. KAMALAKANNAN,Indian National Congress,3925,6288,7194,,,,7194,109,7303,26.11,27966
Puducherry,THIRUNALLAR,25,G.N.S. RAJASEKARAN,Bharatiya Janata Party,6250,13245,16557,,,,16557,272,16829,60.18,27966
Puducherry,THIRUNALLAR,25,CHANDRAMOULISWARAR A.R.,Tamilaga Makkal Thannurimai Katchi,20,51,62,,,,62,0,62,0.22,27966
Puducherry,THIRUNALLAR,25,A. RAJA MOHAMED,Tamilaga Vettri Kazhagam,1271,2641,3173,,,,3173,28,3201,11.45,27966
Puducherry,THIRUNALLAR,25,S. VINOTH,Naam Tamilar Katchi,113,222,280,,,,280,1,281,1,27966
Puducherry,THIRUNALLAR,25,N.V.R. ARIVOLI,Independent,14,29,29,,,,29,0,29,0.1,27966
Puducherry,THIRUNALLAR,25,M.P. SIMON RAJ,Independent,11,24,35,,,,35,1,36,0.13,27966
Puducherry,THIRUNALLAR,25,M. VASANTHKUMAR,Independent,6,10,15,,,,15,0,15,0.05,27966
Puducherry,THIRUNALLAR,25,ANTHO. JOHN PEETTER,Independent,32,61,77,,,,77,0,77,0.28,27966
Puducherry,THIRUNALLAR,25,NOTA,None of the Above,51,110,131,,,,131,2,133,0.48,27966
Puducherry,VILLIANUR,5,R.SIVA,Dravida Munnetra Kazhagam,2574,6365,9269,12478,14757,,14757,243,15000,38.12,39346
Puducherry,VILLIANUR,5,B.RAVICOUMAR,All India N.R. Congress,3418,5654,9620,13536,16625,,16625,345,16970,43.13,39346
Puducherry,VILLIANUR,5,V.KRISHNAMOORTHY,Pattali Makkal Katchi,18,21,42,58,82,,82,0,82,0.21,39346
Puducherry,VILLIANUR,5,M.NANDAGOPAL,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,34,39,42,50,53,,53,2,55,0.14,39346
Puducherry,VILLIANUR,5,D.RAMESH,Naam Tamilar Katchi,103,172,298,413,509,,509,9,518,1.32,39346
Puducherry,VILLIANUR,5,R.RAMESH,Tamilaga Vettri Kazhagam,1396,2405,3887,5192,6202,,6202,46,6248,15.88,39346
Puducherry,VILLIANUR,5,M.GANAPATHY,Independent,3,8,12,12,15,,15,1,16,0.04,39346
Puducherry,VILLIANUR,5,A.THIYAGU,Independent,3,6,13,22,25,,25,0,25,0.06,39346
Puducherry,VILLIANUR,5,D.PAVITHIRAN,Independent,14,19,25,33,36,,36,1,37,0.09,39346
Puducherry,VILLIANUR,5,S.JAYAPAL,Independent,4,5,9,13,16,,16,1,17,0.04,39346
Puducherry,VILLIANUR,5,S.HARI SURESH BABU,Independent,7,14,19,31,35,,35,0,35,0.09,39346
Puducherry,VILLIANUR,5,SHAKUL HAMED,Independent,9,31,53,65,76,,76,1,77,0.2,39346
Puducherry,VILLIANUR,5,NOTA,None of the Above,45,77,143,205,263,,263,3,266,0.68,39346
Puducherry,YANAM,30,GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,3918,8897,12449,14953,15122,,15122,173,15295,42.69,35826
Puducherry,YANAM,30,MALLADI KRISHNA RAO,All India N.R. Congress,4417,7884,13146,17868,19665,,19665,198,19863,55.44,35826
Puducherry,YANAM,30,THOTA RAJU,Tamilaga Vettri Kazhagam,45,110,139,158,166,,166,1,167,0.47,35826
Puducherry,YANAM,30,JANIPALLI VENKANNA BABU,Naadaalum Makkal Katchi,1,2,6,9,9,,9,0,9,0.03,35826
Puducherry,YANAM,30,KALLA VENKATA RATNAM,Independent,2,8,17,17,18,,18,0,18,0.05,35826
Puducherry,YANAM,30,GIDDI BALARAM,Independent,15,33,49,72,76,,76,2,78,0.22,35826
Puducherry,YANAM,30,TIRUKOTI ADIMURTHY,Independent,0,1,1,3,4,,4,0,4,0.01,35826
Puducherry,YANAM,30,NATI BURIYYA,Independent,2,8,19,19,19,,19,0,19,0.05,35826
Puducherry,YANAM,30,MALLADI UDAYA LAKSHMI,Independent,1,5,8,8,9,,9,0,9,0.03,35826
Puducherry,YANAM,30,MELLAM SRINIVASA RAO,Independent,2,2,7,12,13,,13,1,14,0.04,35826
Puducherry,YANAM,30,LAKSHMI SNEHA MEDAPATI,Independent,9,13,19,26,30,,30,4,34,0.09,35826
Puducherry,YANAM,30,SHEIK AHAMEDSHA KHADER,Independent,8,17,24,26,27,,27,0,27,0.08,35826
Puducherry,YANAM,30,SURIMILLI SUBBA RAO,Independent,29,42,61,86,94,,94,0,94,0.26,35826
Puducherry,YANAM,30,NOTA,None of the Above,41,86,143,185,193,,193,2,195,0.54,35826
